A_index	A_blockID	score	A_text	B_text
375	1-94	0.53	ཅེས་མོས་ལ།	ན་མོ།
467	1-119	0.73	ཚར་གསུམ་བརྗོད།	ཚར་གསུམ།
473	1-122	0.65	ཨོཾ་ཨཱརྻ་ཏཱ་རེ་ས་པ་རི་ཝཱ་ར་བཛྲ་ཨརྒྷཾ། པཱདྱཱཾ། པུཥྤེ། དྷུ་པེ། ཨ་ལོ་ཀེ། གནྡྷེ། ནཻ་ཝི་དྱ། ཤཔྡ་པྲ་ཏཱིཙྪ་སྭཱ་ཧཱ།	ཨཱོཾ་ཨཱརྱ་ཏཱ་རེ་ས་པ་རི་ཝཱ་ར་བཛྲ་ཨརྒྷཾ་ནས་ཤབྡ་པྲ་ཏཱིཙྪ་སྭཱ་ཧཱཿ
573		0.59	གདོན་དང་རོ་ལངས་གནོད་སྦྱིན་ཚོགས་རྣམས། །	གནོད་སྦྱིན་རོ་ལངས་དྲི་ཟའི་ཚོགས་རྣམས།།
600	1-160	0.52	ཞེས་ཕན་ཡོན་བཅས་བརྗོད།	ཕན་ཡོན་ནི།
602	1-162	0.37	གཏོར་མ་ཨ་མྲྀ་ཏས་བསང་།	བཛྲ་ས་ཏྭཱ་ཏྭེ་་ནོ་པཱ་ཏིཥྛཱ་དྲྀ་ཌྷོ་མེ་བྷཱ་ཝ།
604	1-164	0.30	སྭ་བྷཱ་བས་སྦྱང་།	ཧ་ཧ་ཧ་ཧ་ཧོཿ
611	1-168	0.55	ལན་གསུམ།	ཨཾ་ཨཱཿ ཧཱུྂ། ལན་གསུམ།
613	1-170	0.48	ལན་གསུམ་གྱིས་གཙོ་མོ་དང་།	སུ་ཏོ་ཥྱོ་མེ་བྷ་ཝ།
615	1-172	0.59	ལན་གསུམ་གྱིས་མགྲོན་ཐབས་རྣམས་ལ་ཕུལ།	ལན་གསུམ་གྱིས་གཏོར་མ་བསྔོ། ལན་གསུམ་གྱིས་མགྲོན་རྣམས་ལ་བསྔོ།
621	1-175	0.65	ཨོཾ་ཨཱརྻ་ཏཱ་རེ་ས་པ་རི་ཝཱ་ར་བཛྲ་ཨརྒྷཾ། པཱདྱཱཾ། པུཥྤེ། དྷུ་པེ། ཨ་ལོ་ཀེ། གནྡྷེ། ནཻ་ཝི་དྱ། ཤཔྡ་པྲ་ཏཱིཙྪ་སྭཱ་ཧཱ།	ཨོཾ་ཨཱརྱ་ཏཱ་རེ་ས་པཱ་རི་ཝཱ་ར་བཛྲ་ཨརྒྷཾ་ནས་ཤབྡ་པྲ་ཏཱིཙྪ་སྭཱཧཱཿ
622	1-176	0.60	སྔགས་ཙམ་གྱིས་མཆོད།	རིག་པས་མཆོད།
657	1-187	0.66	ཅེས་འདོད་པའི་དོན་ལ་གསོལ་བ་ཁྱད་པར་དུ་བཏབ་ཅིང་ཐུགས་དམ་བསྐུལ་བས།	ཞེས་འདོད་པའི་དོན་ལ་གསོལ་བ་བཏབ་ནས་རང་གི་ཐུགས་ཀ་ནས་འོད་ཟེར་སྤྲོས་པས།
662	1-189	0.73	ཅེས་རང་ཉིད་འཕགས་མའི་གསལ་སྣང་དང་ང་རྒྱལ་ལ་སེམས་བཟུང་སྟེ་ཡི་གེ་བཅུ་པའི་བཟླས་པ་ཅི་འགྲུབ་བཟླ།	ཞེས་རང་ཉིད་འཕགས་མའི་གསལ་སྣང་དང་རྒྱལ་བ་སེམས་དཔའ་རྒྱུའི་ཐུགས་ཀའི་བསྙེན་པ་ཅི་རིགས་བཟླས།
674	1-195	0.38	ཨོཾ་སུ་པྲ་ཏིཥྛ་བཛྲ་ཡེ་སྭཱ་ཧཱ།	ཨཱོཾ་ཨཱ་ཧཱུྃཿ
676	1-197	0.48	རྟེན་མེད་ན།	ཨ་ནུ་རཀྟོ་མེ་བྷ་ཝ།
681	1-199	0.30	བཛྲ་མུཿ	ཨོཾ་ཨཱཿ ཧཱུྂཿ
682	1-200	0.62	ཞེས་བརྗོད་ལ་མགྲོན་ཐབས་ཀྱི་ལྷ་རྣམས་གཤེགས།	ཞེས་བརྗོད་ལ་ནོངས་པ་བཤགས།
733	2-1	0.30	གཉིས་པ་རྒྱུན་ཁྱེར་དུ་བྱ་བའི་ཚེ། འཕགས་མའི་རྟེན་འཛོམ་ན་ལེགས། མ་འཛོམ་ན་ཡིད་ཀྱིས་བསྒོམ་པས་འཐུས། མཎྜལ་དང་མཆོད་པ་བཤམས་ལ།	གཉིས་པ་རྒྱུན་ཁྱེར་དུ་བྱ་བའི་ཚེ། འཕགས་མའི་རྟེན་འཛོམ་ན་ལེགས། ན་ཡིད་ཀྱིས་བསྒོམས་པས་འཐུས།མཎྜལ་དང་མཆོད་པ་བཤམས་ལ།གོང་དུ་སྨོས་པའི་མདུན་གྱི་ནམ་མཁར་སོགས་དང་། སྐྱབས་སེམས་ཚོགས་བསགས།མཆོད་པ་བྱིན་བརླབ་བར་བཏང་། དཀོན་མཆོག་སྤྱི་མཆོད་མི་དགོས་པས།རང་ཉིད་སྐད་ཅིག་དྲན་རྫོགས་སུ༔རྗེ་བཙུན་འཕགས་མའི་སྐུར་གསལ་བའི༔སོགས་ནས།མཆོད་པ་མཎྜལ།བསྟོད་པ་ལན་གསུམ་བསྐྱར་བའི་ཕྱི་མ་ཕྱག་འཚལ་ཉེར་གཅིག་ཚར་བདུན་ཕན་ཡོན་དང་བཅས་པའི་མཐར།སྤྲོ་ན། རྗེ་བཙུན་འཕགས་མ་འཁོར་དང་བཅས། །སོགས་འདོད་དོན་གསོལ།བསྡུ་ན་མ་བྱས་ཀྱང་ཆོག།མདུན་བསྐྱེད་འོད་ཞུ་སོགས་ནས་བཟླས་པ།ནོངས་བཤགས་པར་སྔར་ལྟར་ལ།གཤེགས་གསོལ་མི་དགོས།ལྷ་དང་རང་སེམས་སོགས་དང་དགེ་བསྔོ་ཤིས་བརྗོད་བཅས་ཀྱིས་འགྲུབ་བོ། །
734	2-2	0.50	མདུན་གྱི་ནམ་མཁར་རྗེ་བཙུན་མ་མངོན་སུམ་དུ་བཞུགས་པར་གྱུར།	མཁན་པོ་འགྱུར་མེད་རྡོ་རྗེ་ནས་བསྒྱུར།
746		0.47	དངོས་འབྱོར་ཡིད་ཀྱིས་སྤྲུལ་ནས་འབུལ། །	མཁན་པོ་འགྱུར་མེད་རྡོ་རྗེ་ནས་བསྒྱུར།།
752		0.50	ཉན་ཐོས་རང་རྒྱལ་བྱང་ཆུབ་སེམས། །	མཁྱེན་བརྩེ་རྒྱ་བསྒྱུར་ནས།།
756		0.48	སེམས་ཅན་རྣམས་ཀྱི་བསམ་པ་དང་། །	ཅེས་སོགས་ལན་གསུམ་འཚམས་ཀྱིས་བསྟོད་དོ། །ཡང་མཆོད་པ་དང་མཎྜལ་ཕུལ་ལོ།
765		0.56	ཐམས་ཅད་བྱང་ཆུབ་རྒྱུར་གྱུར་ནས། །	མཁྱེན་བརྩེ་རྒྱ་བསྒྱུར་ནས།།
768	2-12	0.47	མཆོད་པ་བྱིན་བརླབ་ནི།	(མཁྱེན་བརྩེ་དབང་པོ་ནས།)
777	2-18	0.70	ཨོཾ་བཛྲ་སྥ་ར་ཎ་ཁཾ།	ཨོཾ་བཛྲ་ས་ཏྭ་ས་མ་ཡ།
804	2-28	0.48	ཨོཾ་སརྦ་ཏ་ཐཱ་ག་ཏ་རཏྣ་མཎྜ་ལ་པཱུ་ཛཿཧོ༔	བྷཱ་ག་ཝན། སརྦ་ཏ་ཐཱ་ག་ཏ་བཛྲ།
805	2-29	0.44	ཞེས་མཎྜལ་བྱེ་བྲག་ཏུ་ཕུལ་ནས། བསྟོད་པའི་རྒྱལ་པོའི་རྒྱུད་འདོན།	ཞེས་མོས་གུས་དྲག་པོས་ཉི་ཤུ་རྩ་ཅིག་གིས་བསྟོད་པ་ལན་བདུན་བརྗོད།
914	2-59	0.48	སེམས་ཅན་གཞན་པ་རྣམས་ལ་ཡང་ངོ་། །	མ་ནུ་པཱ་ལ་ཡ།
923		0.45	དམིགས་མེད་ཐུགས་རྗེས་བརྩེར་དགོངས་ལ། །	མཁན་པོ་འགྱུར་མེད་རྡོ་རྗེ་ནས་བསྒྱུར།
927		0.46	བསྟན་འཛིན་ཐུགས་མཐུན་ཞབས་པད་བརྟན། །	མཁན་པོ་བསྐལ་བཟང་བསྟན་འཛིན་ནས་བསྒྱུར།
943		0.51	བུ་གཅིག་པོ་ལ་མ་བཞིན་དུ། །	སུ་པོ་ཥྱོ་མེ་བྷ་ཝ།
948		0.38	དབྱེར་མེད་ཉིད་དུ་བྱིན་རླབས་པས༔	མཱ་མེ་མུཉྩ་ཙཱ་བཛྲཱི་བྷ་ཝ་མ་ཧཱ་ས་མ་ཡ་ས་ཏྭ་ཨཱཿ
1326	g-0	0.59	༈ གྲོལ་འདོན།	༈ འདོད་གསོལ་ནི།
